City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,brookings,44.3114,-96.7984,22.32,78,75,6.69,US,1723055080
150,bay harbor,30.1471,-85.6146,35.68,53,40,5.66,US,1723055081
151,alotau,-10.3069,150.4462,23.24,96,100,1.73,PG,1723055083
152,mongu,-15.2484,23.1274,20.89,15,1,1.52,ZM,1723055084
153,malabar,-33.9667,151.25,9.24,89,5,3.6,AU,1723055085
154,mahibadhoo,3.7833,72.9667,28.65,70,75,5.13,MV,1723055086
155,nicoya,10.1483,-85.452,27.32,83,92,2.49,CR,1723055087
156,san antonio de pale,-1.4014,5.6325,22.9,83,100,4.54,GQ,1723055088
157,ceylanpinar,36.8472,40.05,36.72,20,0,7.79,TR,1723055089
158,nzega,-2.479,29.5564,19.54,36,53,1.52,RW,1723055090
159,wenshui,28.4506,106.5267,21.01,96,1,2.47,CN,1723055091
160,cabedelo,-6.9811,-34.8339,27.37,73,67,7.71,BR,1723055093
161,invercargill,-46.4,168.35,6.68,90,100,1.79,NZ,1723055094
162,noyabrsk,63.1994,75.4507,11.21,67,52,5.72,RU,1723055095
163,selfoss,63.9331,-20.9971,12.99,80,60,4.08,IS,1723055096
164,kasulu,-4.5767,30.1025,21.1,39,20,1.39,TZ,1723055097
165,codrington,-38.2667,141.9667,11.52,59,88,8.43,AU,1723055098
166,vilyuchinsk,52.9306,158.4028,13.15,90,91,3.14,RU,1723055099
167,nagqu,31.5,92.0,6.6,73,98,1.1,CN,1723055100
168,lagoa,39.05,-27.9833,22.11,70,5,3.79,PT,1723055101
169,huarmey,-10.0681,-78.1522,20.07,72,24,5.22,PE,1723055102
170,udachny,66.4167,112.4,12.8,54,78,3.55,RU,1723055056
171,remire-montjoly,4.9167,-52.2667,28.02,83,75,3.6,GF,1723055105
172,banda aceh,5.5577,95.3222,27.1,78,99,4.22,ID,1723055106
173,metlili chaamba,32.2667,3.6333,38.52,16,0,2.57,DZ,1723055107
174,soller,39.7662,2.7152,33.79,31,3,0.27,ES,1723055108
175,conceicao da barra,-18.5933,-39.7322,25.4,59,61,3.2,BR,1723055109
176,la roda,39.2167,-2.15,34.85,18,0,6.73,ES,1723055110
177,minas de marcona,-15.2119,-75.1103,12.49,78,85,10.88,PE,1723055111
178,luwuk,-0.9516,122.7875,21.55,95,100,2.37,ID,1723055113
179,freetown,8.484,-13.2299,26.03,78,92,4.72,SL,1723055114
180,keflavik,64.0049,-22.5624,14.95,77,20,5.66,IS,1723055115
181,luderitz,-26.6481,15.1594,12.37,85,29,0.54,NA,1723055117
182,fuyu,45.1833,124.8167,21.79,96,0,3.25,CN,1723055119
183,rosarito,32.3333,-117.0333,25.92,73,23,3.45,MX,1723055120
184,san andres,12.5847,-81.7006,29.01,84,20,6.69,CO,1723055121
185,villa de arista,22.65,-100.8333,26.45,40,53,1.04,MX,1723055122
